id,level,depth_ud,depth_sud,add_ud,add_sud,clos_cent_ud,clos_cent_sud,outdeg_cent_ud,outdeg_cent_sud
A1_0001,A1,2.0714285714285716,2.7857142857142856,2.240362811791383,2.0302721088435374,0.7179811194096909,0.599504569947398,0.6558219054817694,0.5437055033653674
A1_0002,A1,1.7083333333333333,2.4583333333333335,2.0171130952380953,1.926934523809524,0.7809108830983831,0.6499524787898113,0.7337814743953137,0.6014521329365079
A1_0003,A1,2.142857142857143,3.2142857142857144,2.256525943710818,2.2413094025488984,0.707667107815795,0.5763494414165286,0.6457593695857398,0.5332921698486635
A1_0004,A1,1.9411764705882353,2.411764705882353,2.149859943977591,2.0297619047619047,0.7187307996236568,0.6385429615573958,0.6510291616646658,0.5754082466319861
A1_0005,A1,2.6875,3.75,2.4161220723720724,2.1599658154345653,0.6068311901011411,0.5044840503160192,0.5485375644303631,0.46690408753706136
A1_0006,A1,1.7222222222222223,2.1666666666666665,1.8736531986531988,1.7776936026936028,0.8101228822513514,0.7413585730055111,0.7751871301397817,0.7020193092541578
A1_0007,A1,2.0588235294117645,2.6470588235294117,2.186986461251167,2.1460550887021475,0.7293095519523956,0.6358346724898757,0.6623797273539045,0.5801940428949357
A1_0008,A1,2.4375,3.0,2.25890376984127,2.1140873015873014,0.682864031437444,0.5762218346449793,0.6132246886022927,0.5048574203987151
A1_0009,A1,1.6,2.1,1.7121428571428572,1.805952380952381,0.8497327751613466,0.752949892511117,0.8197074829931973,0.7363599773242631
A1_0010,A1,2.5833333333333335,3.75,2.612983312983313,2.3631480583686466,0.5740662793600526,0.4679298025198457,0.4602907481991413,0.3976744310943772
A2_0001,A2,3.466666666666667,5.333333333333333,2.78907408211756,2.492041903346251,0.5008388970932613,0.38683531423146955,0.411768053446671,0.3712774044662547
A2_0002,A2,3.1666666666666665,4.125,3.0271082900782647,2.8155637192305476,0.5354683029394293,0.43292210703876133,0.41068873695661146,0.32534468283702295
A2_0003,A2,4.0,5.1875,2.6904669313193836,2.398994745365394,0.44549088671929055,0.35853995741820804,0.3601310970910613,0.2887725075904576
A2_0004,A2,2.5555555555555554,3.611111111111111,2.424659830909831,2.1786215327881995,0.6018080673044686,0.4890687177538139,0.5118883914081497,0.4409897965046
A2_0005,A2,2.3684210526315788,2.6315789473684212,2.2111528822055138,2.0824979114452797,0.6332902574377937,0.5756247713260343,0.5326323414355996,0.4859071952367692
A2_0006,A2,3.0,4.064516129032258,2.6458765828792403,2.452460247465599,0.5468115461248537,0.4616678898546961,0.41990130941567455,0.3697679702679122
A2_0007,A2,2.0,2.6,2.088306878306878,1.9656084656084656,0.7487146238718659,0.6366985077936467,0.7038243995128916,0.5957918031410095
A2_0008,A2,2.2777777777777777,3.111111111111111,2.1631393298059964,2.009898589065256,0.6830730905215282,0.5867378194585343,0.6146448517678677,0.5517620849780241
A2_0009,A2,2.1875,2.9375,2.0458333333333334,1.7923363095238096,0.6540732477158259,0.5715575735957991,0.5732066680839002,0.5346822739512471
A2_0010,A2,3.3214285714285716,4.714285714285714,2.633130497562357,2.372252604801929,0.5088138184370425,0.3993288524744299,0.4203385555680577,0.3662744818379617
B1_0001,B1,3.85,5.15,2.4500470204030576,2.100406642720884,0.38862520150018554,0.31237110162544157,0.27271403460929206,0.23088105682375085
B1_0002,B1,3.3636363636363638,5.045454545454546,2.8582385335604448,2.613348984294312,0.5365066323820633,0.44309401916349606,0.44833872153383186,0.39726609401049595
B1_0003,B1,3.5238095238095237,5.380952380952381,2.803445295786459,2.3906838811617384,0.44807229743401544,0.330885533026895,0.2993288845823217,0.2267705759866792
B1_0004,B1,3.9444444444444446,5.5,2.9470589456818814,2.7294024813890654,0.42855757137047085,0.3564067523174963,0.3056068468937636,0.2594308408344352
B1_0005,B1,3.473684210526316,4.7894736842105265,2.9277679645685186,2.679540917684962,0.5225562748753081,0.4234422150450744,0.4116578173484093,0.33761544939169164
B1_0006,B1,4.0,5.764705882352941,2.975339860307012,2.648350003079941,0.4034199567525633,0.305944790616265,0.2556250453756316,0.20765329571755142
B1_0007,B1,3.7,5.1,2.844891025641026,2.760480769230769,0.4786977471088609,0.39768723547192,0.35456602564102563,0.3305320019723866
B1_0008,B1,3.6153846153846154,5.923076923076923,2.727334287395016,2.437155363754554,0.4485872389451669,0.3074895726099365,0.33095956457298814,0.25223771806183465
B1_0009,B1,4.048780487804878,5.487804878048781,3.0647470886133745,2.7802547039157304,0.45858002567766676,0.34697562264734433,0.33706801464249597,0.262529815553751
B1_0010,B1,4.684210526315789,6.631578947368421,3.3696082395206544,2.9844252446434925,0.3833268890280665,0.2890125778115605,0.2407631654017355,0.19828476827772074
B2_0001,B2,3.923076923076923,6.230769230769231,3.2489027744949714,2.8029776607572883,0.4554807383511094,0.3173057477897397,0.3479463112358078,0.2498515158238098
B2_0002,B2,4.735294117647059,7.352941176470588,2.9343384383973428,2.662955503798716,0.4351052911355226,0.323588005142263,0.3074140676521045,0.2549530785482275
B2_0003,B2,4.857142857142857,7.142857142857143,2.88434550411994,2.66699369552753,0.3733779694985142,0.27180327308141083,0.23694923583917682,0.21803317675911033
B2_0004,B2,4.5,7.3125,3.229027635234729,2.903254116941188,0.3844174589507161,0.2572300882485599,0.24483503601779785,0.18267818851154288
B2_0005,B2,4.444444444444445,6.5,3.17054522300626,2.834354353065194,0.39785437943256363,0.3145805803201488,0.2510035164402988,0.19989622651127328
B2_0006,B2,3.8333333333333335,5.388888888888889,2.9870682026572832,2.716569932302691,0.45101999575471763,0.3364028526083582,0.32626851662106116,0.24260728762127545
B2_0007,B2,4.5,6.882352941176471,3.292675770451966,2.9459269376822625,0.4120185277651088,0.30514492457528086,0.2738037318594589,0.2123194803100877
B2_0008,B2,4.0,5.85,2.785365913111355,2.528822124384887,0.4387847859242998,0.3281289363197737,0.3029942713203214,0.2218100241235814
B2_0009,B2,4.4,6.0,2.7017149081854965,2.5260416489828255,0.40980210259070915,0.3177264386442705,0.3085569902384932,0.23180155455983747
B2_0010,B2,4.688888888888889,6.8,3.2735781779983233,2.8600672558136346,0.38743402504992547,0.2972628068792483,0.2500148776899685,0.19244443585587792
C1_0001,C1,5.571428571428571,8.238095238095237,3.540900476400959,3.0951554997187896,0.3480325541684671,0.24490679634683918,0.23020098077886283,0.169209003586375
C1_0002,C1,4.7,7.05,3.2472472627454567,2.842375357920398,0.37729115404086117,0.2636994909065341,0.23900064484630118,0.16891616081011673
C1_0003,C1,4.492307692307692,6.753846153846154,3.2802928237577103,2.916231074086634,0.4075851646460154,0.2957878594022723,0.27132961482201695,0.20993617718041332
C1_0004,C1,5.0,7.918032786885246,3.392349712139609,3.000185614028898,0.40337767543214026,0.2832901532426357,0.2885787432226667,0.20750062139465128
C1_0005,C1,4.7727272727272725,6.840909090909091,3.3033939229275893,2.9403555033051854,0.41624463657703703,0.3140179323174976,0.3036290920782942,0.23804896937838593
C1_0006,C1,5.733333333333333,9.2,3.682357463605891,3.1434643331970378,0.31586972956002646,0.2044635573155819,0.18631945713726272,0.13232344633282825
C1_0007,C1,5.9,8.466666666666667,3.56303933979348,3.194856928909241,0.3245041457237369,0.2352061335828636,0.20268080319958381,0.15835469177094819
C1_0008,C1,5.327272727272727,7.4363636363636365,3.336812712966136,2.9828670330492315,0.35317738480510985,0.270554945242034,0.21705823027000115,0.1837336489197909
C1_0009,C1,5.382352941176471,8.147058823529411,3.270249681704335,2.92898000417478,0.336721291235572,0.22090132995304915,0.23599527767259143,0.1611419961925387
C1_0010,C1,4.818181818181818,7.2727272727272725,3.394415003083572,2.9410249382360907,0.37433973578649404,0.27004250774298194,0.22169989243434798,0.16431745019627989
C2_0001,C2,5.2,6.9,3.2909514980614727,3.0208545972356715,0.32457573626315467,0.273996055221419,0.21434656620349726,0.19422617032552564
C2_0002,C2,5.388888888888889,8.166666666666666,3.472572189044326,2.97414914474434,0.34506314838324365,0.253818624060091,0.19965808836955118,0.16153001838047676
C2_0003,C2,4.083333333333333,6.125,2.9272998945803597,2.67637721327627,0.46548614439268754,0.38052253714409373,0.3487258319737868,0.3038338119424889
C2_0004,C2,5.545454545454546,7.7272727272727275,3.3607150319455474,3.040004880566139,0.3528075700312927,0.2619463130461669,0.21755738204248823,0.15962739628370018
C2_0005,C2,5.846153846153846,9.23076923076923,3.4317094325739093,2.918855875331092,0.31789419872265146,0.20447980925498857,0.1795821012594137,0.12959936212350484
C2_0006,C2,4.684210526315789,7.052631578947368,3.2110520214551093,2.732534047884382,0.3822168251367376,0.26952309139499936,0.24657949080593453,0.17726333329851882
C2_0007,C2,5.423076923076923,8.346153846153847,3.3527070034182396,2.940883658606288,0.34806883673292194,0.24778128747437927,0.21809713885385384,0.16795664964936238
C2_0008,C2,4.315789473684211,6.2105263157894735,2.9278069919096152,2.6369905702191123,0.4422859667019881,0.36414575272731636,0.3035798662228155,0.25656809983310236
C2_0009,C2,6.0588235294117645,9.137254901960784,3.3489853545404817,2.9791539671363325,0.34142912998142805,0.23985779012283914,0.20785812820010072,0.16301153514836764
C2_0010,C2,5.142857142857143,7.464285714285714,3.3146757790226573,2.9724992760429556,0.3664929670685898,0.2575689236309492,0.23502820543971856,0.16243459457041637
